,gen_mae,gen_mae_val,gen_loss,gen_loss_val,disc_loss,disc_loss_val
0,0.05873203811971624,0.0,6.595786416606174,0.0,1.5354036929672532,0.0
1,0.05799468339060795,0.0,6.5294852745493905,0.0,1.4931601267538435,0.0
2,0.05742369518480187,0.0,6.477258025917199,0.0,1.4641197723638817,0.0
3,0.056976596904559765,0.0,6.435654855900124,0.0,1.445861263121412,0.0
4,0.056614628171730186,0.0,6.400437838033249,0.0,1.433283622311764,0.0
5,0.0563321973257291,0.0,6.371315420077798,0.0,1.42665481597348,0.0
6,0.05600658393145254,0.0,6.339155418851988,0.0,1.419935482569731,0.0
7,0.05575810114642646,0.0,6.312738471346475,0.0,1.4179264648859617,0.0
8,0.055489564998469146,0.0,6.284197989549793,0.0,1.414417909319935,0.0
9,0.05521523849641118,0.0,6.257785538668189,0.0,1.4075246473583367,0.0
10,0.05499973120155574,0.0,6.2338611085063125,0.0,1.407651834667706,0.0
11,0.05480180200142913,0.0,6.211571662644871,0.0,1.4086791561548828,0.0
12,0.05458830390901043,0.0,6.188744008369133,0.0,1.4072104337280564,0.0
13,0.05437451830610844,0.0,6.165941877151448,0.0,1.4057095750694066,0.0
14,0.054193247627231544,0.0,6.146166837845995,0.0,1.4051574679749912,0.0
15,0.05401958610009163,0.0,6.126959639356436,0.0,1.4060334525290734,0.0
16,0.053849143659459975,0.0,6.1089534206051646,0.0,1.4045840744659548,0.0
17,0.053683613346795465,0.0,6.090441452122777,0.0,1.4055097577819406,0.0
18,0.0535160185398637,0.0,6.073493087646089,0.0,1.4030449539481615,0.0
19,0.05334923494932728,0.0,6.055756320817874,0.0,1.402910430470451,0.0
20,0.05321082011747487,0.0,6.040263044365116,0.0,1.4038754454049909,0.0
21,0.053052690421884735,0.0,6.023309667668056,0.0,1.4031593472214996,0.0
22,0.05290224733408267,0.0,6.007499407140283,0.0,1.4024412249398361,0.0
23,0.05276474569016009,0.0,5.992676702155442,0.0,1.4021006091878714,0.0
24,0.05262557273694343,0.0,5.977973130353813,0.0,1.4021158666897342,0.0
25,0.05248452886116667,0.0,5.962626034767902,0.0,1.4017707179752203,0.0
26,0.05234669014319836,0.0,5.94841760290125,0.0,1.4006282213659234,0.0
27,0.05221517017296397,0.0,5.9342155965638295,0.0,1.400721227028331,0.0
28,0.052097555885305485,0.0,5.921305151436498,0.0,1.400851964429428,0.0
29,0.051973708090658335,0.0,5.908302430559377,0.0,1.3999378536724654,0.0
30,0.05185082898436552,0.0,5.895469583907414,0.0,1.3991375140075475,0.0
31,0.051732351475040926,0.0,5.883157757425569,0.0,1.3982162316874729,0.0
32,0.05161611218116172,0.0,5.871041524107991,0.0,1.3975283969451822,0.0
33,0.0515038361889113,0.0,5.8596357966615855,0.0,1.396399361151815,0.0
34,0.05139414766625739,0.0,5.848404295989073,0.0,1.3954100179020825,0.0
35,0.0512885613790586,0.0,5.837543260618637,0.0,1.3947548391050328,0.0
36,0.05118307036371638,0.0,5.826900898511292,0.0,1.3936763838314619,0.0
37,0.05108409349380578,0.0,5.816759990460234,0.0,1.393227016673062,0.0
38,0.05098258281407415,0.0,5.806545250207349,0.0,1.3923246945188346,0.0
39,0.050884698297279755,0.0,5.796673861094511,0.0,1.3916468570896836,0.0
